n,gender,age,ht,wt,fruit
1,FEMALE,21,160,48KG,mango
2,FEMALE,21,150,60KG,guava
3,FEMALE,35,162,55KG,grapes
4,FEMALE,21,150,75KG,mango
5,FEMALE,21,155,46KG,mango
6,FEMALE,22,165,52KG,grapes
7,FEMALE,22,157,55KG,apple
8,FEMALE,25,121,40KG,guava
9,FEMALE,20,162,55KG,mango
10,FEMALE,20,162,48KG,mango
11,FEMALE,21,149,53KG,apple
12,FEMALE,22,150,38KG,guava
13,FEMALE,25,162,59KG,mango
14,FEMALE,23,162,48KG,mango
15,FEMALE,23,157,50KG,grapes
16,FEMALE,22,160,47KG,grapes
17,FEMALE,23,157,45KG,grapes
18,FEMALE,24,157,45KG,mango
19,FEMALE,23,162,50kg,mango
20,MALE,22,170,60KG,mango
21,MALE,20,160,47KG,grapes
22,MALE,21,162,60KG,grapes
23,MALE,21,167,50KG,mango
24,MALE,21,173,60KG,mango
25,MALE,21,170,58KG,mango
26,MALE,21,167,59KG,grapes
27,MALE,25,170,56KG,guava
28,MALE,21,169,59KG,apple
29,MALE,22,162,68KG,mango
30,MALE,22,157,49KG,mango
31,MALE,22,170,65KG,mango
32,MALE,27,170,68KG,grapes
33,MALE,21,156,61KG,grapes
34,MALE ,21,162,59KG,grapes
